,Date,Ticker,NAV,Share out standing,Asset of class,Asset of fund,Distribution yield,YTM
0,demo,demo,demo,demo,demo,demo,demo,demo
719,2021/1/11,LQDA,6.44,"347,368,732","2,236,784,700","9,381,131,973",2.83,2.04%
720,2021/1/11,EMCA,6.07,"75,715,856","459,867,143","1,432,854,216",3.98,3.31%
721,2021/1/11,IUAA,5.85,"373,989,820","2,186,666,660","3,599,452,288",2.06,1.10%
722,2021/1/11,EIMI,37.37,"496,718,892","18,560,484,742","19,058,524,851",1.66,-
723,2021/1/11,IWDA,75,"399,877,510","29,992,143,313","31,079,275,826",1.33,-
724,2021/1/11,DPYA,5.23,"24,095,845","125,949,702","2,357,040,539",2.96,-
725,2021/1/11,LQDA,6.44,"347,368,732","2,236,784,700","9,381,131,973",2.83,2.05%
726,2021/1/11,EMCA,6.07,"75,715,856","459,867,143","1,432,854,216",3.98,3.35%
727,2021/1/11,IUAA,5.85,"373,989,820","2,186,666,660","3,599,452,288",2.06,1.12%
728,2021/1/12,EIMI,37.24,"500,755,900","18,646,272,850","19,248,258,985",1.66,-
729,2021/1/12,IWDA,74.37,"399,833,041","29,735,479,496","30,816,739,483",1.33,-
730,2021/1/12,DPYA,5.16,"24,095,845","124,346,106","2,331,848,468",2.96,-
731,2021/1/12,LQDA,6.42,"346,362,756","2,224,906,198","9,326,107,690",2.83,2.05%
732,2021/1/12,EMCA,6.06,"75,615,856","458,606,286","1,430,815,403",3.98,3.35%
733,2021/1/12,IUAA,5.84,"374,169,820","2,185,185,020","3,595,281,345",2.06,1.12%
734,2021/1/13,EIMI,37.34,"500,214,242","18,677,878,810","19,301,763,899",1.63,-
735,2021/1/13,IWDA,74.49,"399,833,041","29,783,960,304","30,866,979,544",1.32,-
736,2021/1/13,DPYA,5.17,"24,095,845","124,567,814","2,336,005,905",2.99,-
737,2021/1/13,LQDA,6.42,"346,422,756","2,225,372,861","9,336,784,560",2.84,2.07%
738,2021/1/13,EMCA,6.05,"75,615,856","457,571,688","1,427,591,179",3.99,3.37%
739,2021/1/13,IUAA,5.84,"371,341,820","2,168,155,001","3,578,080,275",2.07,1.14%
740,2021/1/17,EIMI,37.46,"500,198,984","18,738,449,717","19,364,948,710",1.61,-
741,2021/1/17,IWDA,73.96,"399,438,790","29,543,532,062","30,645,313,375",1.57,-
742,2021/1/17,DPYA,5.27,"24,285,899","128,079,299","2,387,983,536",2.93,-
743,2021/1/17,LQDA,6.47,"335,873,739","2,173,204,829","9,254,735,812",2.82,2.03%
744,2021/1/17,EMCA,6.07,"90,192,517","547,297,545","1,516,513,105",3.99,3.38%
745,2021/1/17,IUAA,5.86,"371,287,757","2,174,652,162","3,589,309,887",2.06,1.13%
746,2021/1/19,EIMI,37.46,"500,198,984","18,739,789,068","19,366,332,841",1.62,-
747,2021/1/19,IWDA,73.93,"401,015,140","29,646,796,020","30,770,735,521",1.58,-
748,2021/1/19,DPYA,5.28,"24,273,673","128,073,549","2,389,078,496",2.92,-
